FID,Country,Observation,Evidence,Total_no,Location_Name,Description,Source,Contributor,Assessment_Year,WebLink,Lat,Long,Closest_Lat,Closest_Long,Combined_Lat,Combined_Long,Comments,Data_Sensitivity,Data Request Info
15046,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,AC,Tourist photos,MGL Mills,2012,NA,-26.18528,20.54468, , ,-26.18528,20.54468,Single male,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15047,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,Auchterlonie area,Tourist photos,MGL Mills,2013,NA,-26.18528,20.54468, , ,-26.18528,20.54468,Single female,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15048,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,Auchterlonie,Tourist photos,MGL Mills,2014,NA,-26.18528,20.54468, , ,-26.18528,20.54468,Single female,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15049,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,AC,Tourist photos,MGL Mills,2014,NA,-26.18528,20.54468, , ,-26.18528,20.54468,Single female,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15050,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,Auchterlonie,Tourist photos,MGL Mills,2014,NA,-26.18528,20.54468, , ,-26.18528,20.54468,Single female,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15051,South Africa,Tourist record,Photo,2,Kgalagadi Transfrontier Parkand surrounding areas,Auchterlonie,Tourist photos,MGL Mills,2014,NA,-26.18528,20.54468, , ,-26.18528,20.54468,Coalition,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15052,South Africa,Tourist record,Photo,3,Kgalagadi Transfrontier Parkand surrounding areas,near AC,Tourist photos,MGL Mills,2010,NA, , ,-26.185283,20.544683,-26.185283,20.544683,Female with cubs,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15053,South Africa,Tourist record,Photo,4,Kgalagadi Transfrontier Parkand surrounding areas,near AC,Tourist photos,MGL Mills,2011,NA, , ,-26.185283,20.544683,-26.185283,20.544683,Siblings,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15054,South Africa,Tourist record,Photo,3,Kgalagadi Transfrontier Parkand surrounding areas,AC,Tourist photos,MGL Mills,2011,NA, , ,-26.185283,20.544683,-26.185283,20.544683,Female with cubs,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15055,South Africa,Tourist record,Photo,2,Kgalagadi Transfrontier Parkand surrounding areas,AC,Tourist photos,MGL Mills,2012,NA, , ,-26.185283,20.544683,-26.185283,20.544683,Female with cubs,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
