period,grid_x,grid_y,x,y,source_records,source_count,resistance,inside_fixed_core,within_10km_priority_path
late_2013_2016,-42,-282,-413302.4150011144,-2813695.8556252816,3,2,2.082777487754822,1,0
late_2013_2016,-50,-282,-493259.11311113095,-2816979.9402293265,1,1,1.9630226736068725,1,0
late_2013_2016,-47,-282,-469704.97467945865,-2815440.143366158,1,1,2.012156855106354,1,0
late_2013_2016,-48,-282,-474518.45418380917,-2813314.1623291173,3,1,2.053022673606873,1,0
late_2013_2016,-15,-282,-147158.11144593183,-2813532.9916862845,1,1,3.3414682235717774,1,0
late_2013_2016,-49,-282,-481936.5889337889,-2810024.6324171126,1,1,1.9830374364852905,1,0
late_2013_2016,-49,-281,-483119.05921551713,-2809504.338678837,1,1,1.8550226736068725,1,0
late_2013_2016,-50,-281,-496627.23157296504,-2803490.7490174323,2,1,1.9630226736068725,1,0
late_2013_2016,-51,-281,-504211.8396533598,-2800100.3155124187,1,1,1.9938909587860107,1,0
late_2013_2016,-51,-280,-508415.6745062357,-2798233.863504877,3,1,2.1448570036888124,1,0
late_2013_2016,-52,-280,-511479.71142070217,-2796866.348300278,1,1,3.4001740026474003,1,0
late_2013_2016,-41,-280,-409595.78762435896,-2792107.886160165,2,1,1.9472142238616943,1,0
late_2013_2016,-42,-279,-411287.16348878195,-2787573.321001172,1,1,1.939449112892151,1,0
late_2013_2016,-39,-278,-389667.60426533734,-2776448.139582753,1,1,1.7913347268104551,1,0
late_2013_2016,-52,-278,-512510.0271599326,-2775456.7662521303,1,1,3.5609715423583985,1,0
late_2013_2016,-42,-278,-417872.24289123685,-2771013.335467905,1,1,1.989689076423645,1,0
late_2013_2016,-42,-277,-417421.1555897514,-2766670.9179335386,2,1,2.048323513031006,1,0
late_2013_2016,-17,-277,-167735.22390087246,-2763694.1337799877,2,1,2.289128034591675,1,0
late_2013_2016,-43,-276,-423780.16578851646,-2755962.9803978205,1,1,2.158528606891632,1,0
late_2013_2016,-52,-274,-512569.9989456477,-2733956.910987457,3,1,3.6471755313873295,1,0
late_2013_2016,-43,-274,-421222.0617233757,-2730762.9831883907,1,1,1.6193414154052734,1,0
late_2013_2016,-52,-273,-512586.8549678023,-2726679.158551067,3,1,3.6888053092956543,1,0
late_2013_2016,-52,-272,-512595.643650194,-2711873.5007149577,2,1,3.311033826828003,1,0
late_2013_2016,-24,-272,-237486.33266773736,-2710563.726135681,3,2,1.4973185949325563,1,0
late_2013_2016,-23,-272,-226150.76652415868,-2710513.768653214,1,1,1.5045427341461182,1,0
