scenario,year,from_core,to_core,path_length_km,cost_raw
veg_high,2020,18,24,9.41421356237589,26411.791015625
veg_high,2020,18,28,156.38477631085397,329272.78125
veg_high,2020,18,33,117.98275605729604,256900.0625
veg_high,2020,24,28,21.00000000000093,40875.8828125
veg_high,2020,24,33,39.698484809838924,84212.3515625
veg_high,2020,24,38,103.48528137423736,205667.203125
veg_high,2020,26,27,108.5685424949326,214570.125
veg_high,2020,26,31,24.3137084989898,49351.21875
veg_high,2020,26,32,117.98275605729711,246352.671875
veg_high,2020,27,30,204.28427124747154,415132.125
veg_high,2020,27,31,307.15432893255354,656575.0625
veg_high,2020,27,32,442.480230740355,921694.125
veg_high,2020,27,41,158.19595949289237,326035.15625
veg_high,2020,28,33,21.414213562380546,46598.046875
veg_high,2020,28,38,35.5563491860973,73480.734375
veg_high,2020,30,36,30.99999999999907,61285.46875
veg_high,2020,30,40,136.2670273047605,284536.5
veg_high,2020,30,41,170.49242404917564,360442.53125
veg_high,2020,31,32,64.72792206135018,124217.6953125
veg_high,2020,33,38,41.82842712474805,84784.1484375
veg_high,2020,36,40,63.8406204335631,141877.25
veg_high,2020,36,41,145.4680374315396,299929.1875
veg_high,2020,36,43,109.66904755831358,288789.5625
veg_high,2020,38,40,25.556349186110513,54168.875
veg_high,2020,38,42,29.698484809835655,70356.734375
veg_high,2020,40,42,21.41421356237139,58891.66796875
veg_high,2020,40,43,130.05382386916062,338416.21875
veg_high,2020,40,45,136.89444430272695,350327.59375
veg_high,2020,41,43,97.9827560572984,281985.40625
veg_high,2020,41,45,154.55129855222208,446885.90625
veg_high,2020,42,50,59.69848480983543,131344.828125
veg_high,2020,43,45,25.556349186104864,80861.484375
veg_high,2020,43,49,148.7279220613572,353968.3125
veg_high,2020,45,49,111.79898987322316,272377.46875
veg_high,2020,45,50,274.3208511739196,690533.6875
veg_high,2020,45,53,261.38477631084555,704289.875
veg_high,2020,49,53,125.14213562373648,355410.9375
veg_high,2020,50,53,261.6639969244295,717329.3125
veg_high,2024,1,9,102.5979797464545,186135.296875
veg_high,2024,1,13,212.00714267493976,384903.1875
veg_high,2024,1,17,247.95331880576506,449383.46875
veg_high,2024,9,13,25.556349186102413,47678.01953125
veg_high,2024,9,17,58.07106781186323,98513.7734375
veg_high,2024,13,17,98.59797974644711,152279.8125
veg_high,2024,17,24,30.99999999999907,63489.37109375
veg_high,2024,18,24,10.242640687121535,30685.427734375
veg_high,2024,18,28,165.0832611206798,390548.6875
veg_high,2024,18,33,117.98275605730149,280708.59375
veg_high,2024,24,28,21.00000000000093,43822.4453125
veg_high,2024,24,33,39.69848480983675,94190.5078125
veg_high,2024,24,38,105.97056274847652,245581.984375
veg_high,2024,26,27,107.98275605730022,228682.5
veg_high,2024,26,31,24.313708498988706,54341.1875
veg_high,2024,26,32,117.56854249492666,272442.0625
veg_high,2024,27,30,209.59797974646077,437087.5
veg_high,2024,27,31,311.71067811866,700141.125
veg_high,2024,27,32,440.82337649086384,984306.25
veg_high,2024,27,41,158.1959594928935,344489.4375
veg_high,2024,28,33,21.414213562381637,48410.21875
veg_high,2024,28,38,36.38477631084403,87564.03125
